"Codigo","idh"
"2929057",0.639
"2929107",0.616
"2929206",0.674
"2929255",0.592
"2929305",0.627
"2929354",0.546
"2929370",0.552
"2929404",0.593
"2929503",0.657
"2929602",0.614
"2929701",0.527
"2929750",0.617
"2929800",0.549
"2929909",0.635
"2930006",0.615
"2930105",0.666
"2930154",0.595
"2930204",0.585
"2930303",0.608
"2930402",0.566
"2930501",0.634
"2930600",0.59
"2930709",0.675
"2930758",0.564
"2930766",0.533
"2930774",0.631
"2930808",0.592
"2930907",0.584
"2931004",0.577
"2931053",0.599
"2931103",0.597
"2931202",0.566
"2931301",0.594
"2931350",0.685
"2931400",0.594
"2931509",0.566
"2931608",0.555
"2931707",0.578
"2931806",0.528
"2931905",0.579
"2932002",0.605
"2932101",0.582
"2932200",0.611
"2932309",0.593
"2932408",0.617
"2932457",0.515
"2932507",0.56
"2932606",0.598
"2932705",0.616
"2932804",0.59
"2932903",0.623
"2933000",0.637
"2933059",0.539
"2933109",0.575
"2933158",0.555
"2933174",0.586
"2933208",0.645
"2933257",0.577
"2933307",0.678
"2933406",0.587
"2933455",0.6
"2933505",0.544
"2933604",0.585
